=== C:\Users\jose ===
"GiB","Name","FullName","LastWriteTime"
"3,21","java_error_in_pycharm.hprof","C:\Users\jose\java_error_in_pycharm.hprof","05/09/2024 16:42:03"
"0,02","KLiteCodecBasic.exe","C:\Users\jose\KLiteCodecBasic.exe","13/06/2025 22:33:35"
"0,01","NTUSER.DAT","C:\Users\jose\NTUSER.DAT","29/05/2026 10:34:41"
"0,01","output_video.mp4","C:\Users\jose\output_video.mp4","13/11/2023 21:51:22"
"0,01","replay_pid15212.log","C:\Users\jose\replay_pid15212.log","06/06/2025 16:31:34"
"0","ntuser.dat.LOG2","C:\Users\jose\ntuser.dat.LOG2","03/06/2025 8:13:26"
"0","hydracamv2-win11-sparse.tgz","C:\Users\jose\hydracamv2-win11-sparse.tgz","07/06/2026 17:59:18"
"0","ntuser.dat.LOG1","C:\Users\jose\ntuser.dat.LOG1","03/06/2025 8:13:26"
"0","SceneConfig.json","C:\Users\jose\SceneConfig.json","07/05/2025 12:15:18"
"0","NTUSER.DAT{dc8e8c3a-4049-11f0-ae3c-00155d0de7dc}.TMContainer00000000000000000001.regtrans-ms","C:\Users\jose\NTUSER.DAT{dc8e8c3a-4049-11f0-ae3c-00155d0de7dc}.TMContainer00000000000000000001.regtrans-ms","03/06/2025 8:13:26"
"0","NTUSER.DAT{dc8e8c3a-4049-11f0-ae3c-00155d0de7dc}.TMContainer00000000000000000002.regtrans-ms","C:\Users\jose\NTUSER.DAT{dc8e8c3a-4049-11f0-ae3c-00155d0de7dc}.TMContainer00000000000000000002.regtrans-ms","03/06/2025 8:13:26"
"0","java_error_in_pycharm_1260.log","C:\Users\jose\java_error_in_pycharm_1260.log","14/09/2024 18:28:51"
"0","java_error_in_pycharm_12016.log","C:\Users\jose\java_error_in_pycharm_12016.log","14/06/2025 21:26:16"
"0","java_error_in_pycharm_15212.log","C:\Users\jose\java_error_in_pycharm_15212.log","06/06/2025 16:31:32"
"0","java_error_in_pycharm_900.log","C:\Users\jose\java_error_in_pycharm_900.log","14/06/2025 22:50:09"
"0","java_error_in_pycharm_16436.log","C:\Users\jose\java_error_in_pycharm_16436.log","14/06/2025 22:33:22"
"0","java_error_in_pycharm_14608.log","C:\Users\jose\java_error_in_pycharm_14608.log","14/06/2025 22:38:01"
"0","NTUSER.DAT{dc8e8c3a-4049-11f0-ae3c-00155d0de7dc}.TM.blf","C:\Users\jose\NTUSER.DAT{dc8e8c3a-4049-11f0-ae3c-00155d0de7dc}.TM.blf","03/06/2025 8:13:26"
"0","android-storage-scanner.ps1","C:\Users\jose\android-storage-scanner.ps1","13/06/2025 11:30:42"
"0","win11-repair.ps1","C:\Users\jose\win11-repair.ps1","07/06/2026 17:35:22"
"0","win11-storage-fast-inventory.ps1","C:\Users\jose\win11-storage-fast-inventory.ps1","07/06/2026 21:43:22"
"0","win11-setup.ps1","C:\Users\jose\win11-setup.ps1","07/06/2026 17:21:22"
