00:00 +0: loading /Users/jose/src/work/hydracamv2/test/services/wearable_replay_live_upload_test.dart
00:00 +0: uploads a HydraCam-generated wearable manifest to media-timeline
Log registered: {message: UploaderService: Resetting upload queue and state., timestamp: 2026-06-22 18:15:06.829347, function: null, file: null}
Log registered: {message: UploaderService: Reset completed., timestamp: 2026-06-22 18:15:06.831653, function: null, file: null}
Log registered: {message: UploaderService: Resetting upload queue and state., timestamp: 2026-06-22 18:15:06.835238, function: null, file: null}
Log registered: {message: UploaderService: Reset completed., timestamp: 2026-06-22 18:15:06.835975, function: null, file: null}
Log registered: {message: Session started with GUID: wearable-live-1782144906834182 on device type: Master, timestamp: 2026-06-22 18:15:06.836809, function: null, file: null}
Log registered: {message: Wearable replay track saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/tracks/watch-live-track.json, timestamp: 2026-06-22 18:15:06.849123, function: null, file: null}
Log registered: {message: Wearable replay track saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/tracks/rayban-live-track.json, timestamp: 2026-06-22 18:15:06.851724, function: null, file: null}
Log registered: {message: Wearable replay marker saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/markers/marker-live-1.json, timestamp: 2026-06-22 18:15:06.857768, function: null, file: null}
Log registered: {message: Wearable replay sync calibration saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/calibration/clap-flash-live-1.json, timestamp: 2026-06-22 18:15:06.859660, function: null, file: null}
Log registered: {message: Wearable replay POV recording saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/pov/rayban-live-pov.json, timestamp: 2026-06-22 18:15:06.863677, function: null, file: null}
Log registered: {message: Wearable replay feedback event saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/feedback/feedback-live-watch-1.json, timestamp: 2026-06-22 18:15:06.864981, function: null, file: null}
Log registered: {message: Wearable replay feedback event saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/feedback/feedback-live-glasses-1.json, timestamp: 2026-06-22 18:15:06.865748, function: null, file: null}
Log registered: {message: Wearable replay upload manifest saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/wearables/wearable-upload-manifest.json, timestamp: 2026-06-22 18:15:06.869883, function: null, file: null}
Log registered: {message: Session metadata saved to /var/folders/6s/dp27g8gn26j9mp36sjfxb9tw0000gn/T/wearable_replay_live_uploadeCD2TO/session_wearable-live-1782144906834182/metadata.json, timestamp: 2026-06-22 18:15:07.058659, function: null, file: null}
Log registered: {message: UploaderService: Resetting upload queue and state., timestamp: 2026-06-22 18:15:07.058904, function: null, file: null}
Log registered: {message: UploaderService: Reset completed., timestamp: 2026-06-22 18:15:07.059064, function: null, file: null}
Log registered: {message: Session ended and uploader reset., timestamp: 2026-06-22 18:15:07.059125, function: null, file: null}
00:00 +1: All tests passed!
